阶段,Acc(Train),Acc(Test),ΔAcc,F1_macro(Train),F1_macro(Test),ΔF1_macro,OOB
基线,0.996268656716418,0.895910780669145,0.10035787604727298,0.9968653809077431,0.8759920634920634,0.12087331741567975,0.8731343283582089
调参后,0.8964552238805971,0.8141263940520446,0.0823288298285525,0.8842112272295392,0.776555259540196,0.10765596768934316,0.8255597014925373
