阶段,Acc(Train),Acc(Test),ΔAcc,F1_macro(Train),F1_macro(Test),ΔF1_macro
基线,0.996268656716418,0.9033457249070632,0.09292293180935474,0.9968699692971539,0.8905644515573449,0.10630551773980901
调参后,0.9841417910447762,0.895910780669145,0.08823101037563119,0.9829179344828199,0.8787657384431578,0.10415219603966219
