模型,Acc(Train),F1_macro(Train),Acc(Test),F1_macro(Test),ΔAcc,ΔF1_macro
SVM（SMOTE+调参）,0.9878731343283582,0.9880810074700598,0.9330855018587361,0.928732308479144,0.05478763246962215,0.05934869899091577
RandomForest（调参后）,0.9925373134328358,0.992714135015737,0.8996282527881041,0.8814819365937577,0.0929090606447317,0.11123219842197929
