fold,accuracy,f1_macro
1,0.9259259259259259,0.8820212046018497
2,0.8703703703703703,0.8518518518518517
3,0.8598130841121495,0.8449074074074074
4,0.9252336448598131,0.9135864695340502
5,0.8504672897196262,0.8542232630757222
6,0.8130841121495327,0.7666324786324786
7,0.8785046728971962,0.8664322344322345
8,0.9252336448598131,0.9263333333333333
9,0.8878504672897196,0.8382160475183732
10,0.9626168224299065,0.9394196025293585
