模型,Acc(Train),F1(Train),Acc(Test),F1(Test),ΔAcc,ΔF1
RF改进,0.9440298507462687,0.9455961299282617,0.8661710037174721,0.845435796261279,0.07785884702879653,0.10016033366698274
SVM改进,0.9692164179104478,0.96654041241016,0.9144981412639405,0.9090674926555065,0.0547182766465073,0.05747291975465352
