feature,mean_diff(mis-correct),abs_mean_diff,std_correct,std_mis
Ga,-0.7154122451022318,0.7154122451022318,1.3458296170221662,1.0044388036691907
Gd,-0.4534062806828899,0.4534062806828899,1.1339091575445714,0.5530316441768881
Er,-0.4352998379818666,0.4352998379818666,0.9662626067861556,0.4495256631406903
Ho,-0.4138338208965308,0.4138338208965308,0.9616725933722731,0.46046620260137155
Dy,-0.40895625729304674,0.40895625729304674,0.9833475638952673,0.4903727491284812
Tb,-0.402021678556628,0.402021678556628,1.0016914710437916,0.4914584072573172
Tm,-0.39420126157573043,0.39420126157573043,0.9268004010088746,0.4353817766942886
Hf,-0.3876993555519439,0.3876993555519439,1.1769565871632328,0.604330865533814
Yb,-0.3764888950488574,0.3764888950488574,0.9270829767936539,0.44428128544354784
Lu,-0.3634729511123716,0.3634729511123716,0.9210460304325722,0.46923898052324636
Y,-0.35806141170919803,0.35806141170919803,0.9737845047131501,0.37082843596866427
Zr+Nb+Ce+Y,-0.35324734257690316,0.35324734257690316,1.2330681758599231,0.6580013219571806
CaO,-0.34837080672840703,0.34837080672840703,0.9226889834697942,0.46169121769311483
Sm,-0.3387712085287773,0.3387712085287773,1.1589410172877874,0.6601760685053428
L.O.I,-0.3165968916675369,0.3165968916675369,1.0502804469815037,0.7627274734419429
Zr,-0.3137473264455479,0.3137473264455479,1.1826047691433745,0.46239213492668874
SiO2,0.2901538598727159,0.2901538598727159,0.9140641962638532,0.5375990267384538
MnO,0.2821843170017818,0.2821843170017818,0.8917626393802099,1.6742186150549978
MgO,-0.2800995305007535,0.2800995305007535,0.80595065687395,0.39557688009608144
Total,0.275254170107587,0.275254170107587,0.9224969163624313,1.4137487934223631
Sr/Y,-0.237884489964597,0.237884489964597,1.1008115650545938,0.4232761696702119
Nd,-0.23616141564791315,0.23616141564791315,1.3094835871975936,0.6958736583271845
REE,-0.22496313672120227,0.22496313672120227,1.3144188694618097,0.8204190897103064
Nb,-0.20084409813386106,0.20084409813386106,0.8163512861757672,0.43461903284301356
A/NK,-0.1972038680120559,0.1972038680120559,1.0294317833296451,1.0838318752070453
Na2O,0.17254612517273596,0.17254612517273596,1.1996531293662775,0.9889287643759131
Pr,-0.17065379237279948,0.17065379237279948,1.2814251274781234,0.729582463770341
10000*Ga/Al,-0.16304745168373624,0.16304745168373624,1.2191537053813057,0.782892884432134
Rb,-0.16259764453748862,0.16259764453748862,0.9506319148616801,0.9437349953774339
Sr,-0.16172827953374938,0.16172827953374938,0.9825869012444036,0.397208466224237
Al2O3,-0.1566633231586546,0.1566633231586546,1.0262219448291066,0.5910650401754332
Eu,-0.15409396731342806,0.15409396731342806,1.2517995483651319,0.49428598663476314
Th,-0.1457284390471741,0.1457284390471741,0.999136104409322,0.8502240512847262
Ce,-0.14567314823720265,0.14567314823720265,1.3391154934568843,0.8250580047545467
TiO2,-0.13420437025598786,0.13420437025598786,0.8855991305342157,0.603856080791917
Al,-0.12225511257587247,0.12225511257587247,1.2310662100925482,0.5910650401754332
A/CNK,0.11311054081179107,0.11311054081179107,0.822388104442949,1.3319179337088012
P2O5,-0.10053397555361293,0.10053397555361293,0.9103501753762204,0.6640121965657935
P,-0.09688505742260281,0.09688505742260281,0.9130524473781113,0.6637855562496519
K2O,0.08821246895597715,0.08821246895597715,1.2713504539459457,0.6388031873985284
U,-0.08648736413652164,0.08648736413652164,0.8974012417411543,0.6785076652559315
Ta,-0.08103796294791955,0.08103796294791955,0.8330818378612529,0.5711970805772998
Ba,-0.05454390888548209,0.05454390888548209,1.2483844642977033,0.6401754588631094
La,-0.047511529840183364,0.047511529840183364,1.3426504778668311,0.8503384708438297
Pb,0.027379235016293184,0.027379235016293184,0.7998331064790256,0.4246128767266337
Fe2O3t,0.004779698882181299,0.004779698882181299,0.8142676793857491,1.0079641426480945
