fold,accuracy,f1_macro
1,0.9351851851851852,0.9018778911252029
2,0.8703703703703703,0.8520923520923521
3,0.9158878504672897,0.9083781362007168
4,0.897196261682243,0.8711970899470899
5,0.8785046728971962,0.8691135005973716
6,0.822429906542056,0.7867784268901871
7,0.9158878504672897,0.9133219373219372
8,0.9439252336448598,0.9263929755733034
9,0.8691588785046729,0.8099232920290412
10,0.9158878504672897,0.8753919478239056
