index,y_true,y_pred,correct,y_true_name,y_pred_name,SiO2,TiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O,MnO,P2O5,L.O.I,Total,Ga,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Al,10000*Ga/Al,Zr+Nb+Ce+Y,REE,Sr/Y,A/CNK,A/NK,P,Type_Encoded
91,1,0,0,I-type,A-type,0.8669590407057054,-0.931287841967355,-0.701721192608878,1.1006602996684134,-0.6453331947756435,-0.6354502946866888,-3.638195277315027,-0.7793777942610741,4.202790177773406,-0.7412327132005644,1.4040973755985635,1.1048784770064086,2.3146305037871304,3.8283394094723486,-0.8128006140096755,-0.0694001541290608,-1.0897523423701858,0.0203325913079533,-0.9106022729092028,-1.0335563994303214,-1.0381439204618217,-1.0138124022602943,-1.0419375295450244,-0.5851571939405479,-1.0469248194006902,-0.5927323047478612,-0.2610016039183016,-0.1778628996907346,-0.3301934787004377,-0.4025412081818218,-0.2449467932362911,-0.1473643094773956,-0.1411497629854886,-1.0661607180470904,1.4844727868864354,0.2104097346908255,-1.4983330426105856,0.3542922397275023,-0.7017211926088786,1.8987255055314587,-1.043848039539843,-0.9789683751898676,-0.5921056060365031,6.23956996411669,4.869474076081076,-0.7404480247380727,1
96,1,2,0,I-type,S-type,-0.5779068319402788,1.2969639501365535,0.8898524766731024,0.9443035936579696,-0.0281959284942252,-0.7003611478198953,1.3430293772586357,-1.071569742565571,7.287518637623111,0.6550962474900802,0.4189571530154914,1.5841921059050883,-0.2540116549562835,-0.7655300718778489,0.4408403545277141,-0.5227030840957927,-0.5762400176835734,-0.2408553915047785,0.7753270816712842,-0.019453900024244,-0.1314077673270126,-0.138381931297455,-0.19992166119379,-0.4213580076226473,0.7811083648759669,-0.6094161767645884,-0.5302379750925144,-0.5727188190347862,-0.6298830860349531,-0.6133386409931166,-0.5366174102058637,-0.5343826121077457,-0.5640131930786108,-0.922787482321783,0.0283485548872286,0.0110219625595149,-0.4052827633979732,-0.3915146499154545,0.8898524766731015,-2.643783843069221,-0.5646127582714637,-0.1734933183629381,0.1418875339116607,0.5942986463981732,-0.1043513338748197,0.6554043416389048,1
99,0,1,0,A-type,I-type,0.9318093940560636,-0.5846708965289693,-0.3752445424997534,-0.9183806431621004,-0.665240848526657,-0.6462687702088897,1.043676934075122,-0.2315178911901406,0.3468796029612744,-0.7412327132005644,-0.8216515784499917,1.698672707684883,-1.2210416974961478,-0.918661143221763,-0.3604854556483269,-0.7695988060845862,-0.7424013799089566,-0.3992742827954856,-0.2854354863110144,-0.6682649009836038,-0.7254212190662547,-0.885055944127427,-0.9876695739689496,-1.2974531971645449,-0.6086196896109903,-1.3062723763126345,-1.0614224485760495,-1.0018049996603111,-0.9417452745133476,-0.9154455769233067,-0.7971599698890149,-0.7979633482704385,-0.7916857023224416,-1.0305032260708642,-0.5731367641409175,-0.4922558545564936,-0.5476955749599693,-0.8907232499967622,-0.375244542499755,-0.4489933686546241,-1.1808147378549183,-1.215649232065155,-0.1222993250258092,-0.3821840606618426,-0.7619824975850302,-0.7404480247380727,0
100,2,0,0,S-type,A-type,0.161387196253804,-0.0895038316169896,-0.4405398725215783,-0.1275329562397107,-0.0879188897472657,0.0785690897785846,-0.4291370863877638,0.0484993926016702,0.1540840742206679,0.1896532605931986,-0.0180754682962128,0.935468695819604,-0.6002663492180609,0.2732780066984325,-0.28887761729217,-0.2090240930444566,-0.3628217542748242,-0.3409094281094357,-0.3594421771004771,0.2068755189150675,0.2304918818797247,0.2408576364837758,0.2831723626627996,0.1019628522637126,-0.214005550682595,-0.0279179291687527,-0.1057349021412372,-0.0959563961175363,-0.2478709676298783,-0.2097237745903825,-0.3208993769198138,-0.2747955234626696,-0.2458042474103326,-0.1814497165192821,0.106987978223064,0.2354133459870347,0.9476389464409904,1.5092279541499949,-0.4405398725215788,-0.0454632334104221,-0.2416202206398029,0.2280065658355959,-0.3940548276168309,-0.1461905947736644,-0.042483550885678,0.1901202195132454,2
112,0,1,0,A-type,I-type,0.6672199523865993,-0.5846708965289693,-0.6364258625870531,-0.5913156494301093,-0.744871463530711,-0.5489024905090798,0.6245835136182032,-0.3776138653423896,0.3468796029612744,-0.5085112197521235,-0.3564233041504355,-0.1139368204951349,-2.439600714486467,-0.7613913942739594,-0.3877646321649581,-0.7271003621356955,-0.6372166643717874,-0.7911525928303932,-0.535208067725451,-0.8825234175794854,-0.96643310471687,-0.969167443596416,-0.9789651771427048,-1.1362516822888356,-0.6721010945690364,-1.0614310089038614,-0.9191805811997054,-0.9228925986257318,-0.8807453354466689,-0.8139376464507629,-0.7579385092915513,-0.7240808691945322,-0.723783375004106,-0.7453733161468256,-0.7410425599120255,-0.6557410053394008,-1.1232806883563704,-0.9622061716046492,-0.6364258625870525,-1.1725569734224173,-0.9836301043882132,-1.010776673819101,-0.2015744064056901,-0.2734062192959574,-0.6055928142216565,-0.5078059636752432,0
120,0,1,0,A-type,I-type,-0.0150057648591685,-0.4856374835465734,-0.0977393899069978,-0.6441898978394381,-0.705056156028684,-0.1161634696210353,0.1815418977066037,-0.1828192331393909,-0.4243025120011519,-0.5085112197521235,-0.0321732947901388,-3.18583296825284,-0.3473578739936548,-0.3516623114888921,0.6539589210638953,-0.8465007522778171,-0.4390425626350917,-0.703605310801318,1.3211264262435716,0.2943895609049346,-0.0035808270108713,-0.2047857466677094,-0.3783617961318096,-0.8255299217313093,0.0484986373871635,-0.9554900326212192,-1.0514210672761504,-0.993584957885876,-1.004270212056693,-0.9565321202098128,-0.9064197529819494,-0.8858235936580027,-0.899530575122151,-0.8214079587932359,-0.6645285263960776,0.1488623838078486,0.1109636785142629,-0.6200256288259123,-0.0977393899069993,0.0253302536494306,-0.571801781366604,-0.1534575519188604,1.3863586432083823,-0.0951106957946601,-0.1817503787440026,-0.5078059636752432,0
135,1,0,0,I-type,A-type,0.9162453092519772,-0.5351541900377714,-0.6609116113452369,-1.0067561726462644,-0.784686771032738,-0.7652720009531021,0.9119618590743758,-0.1341205750886412,-0.2315069832605452,-0.7412327132005644,-0.9203363639074732,0.1150243830644543,-1.336000095325423,-0.9021064328062048,-0.5650792795230608,-0.7959073666243758,-0.6677049877158944,-0.6535782924989895,-0.3625257892167047,-0.4932368170038695,-0.8811044718305108,-0.7094547434816431,-0.8309904310965424,-1.2180205666460793,-0.5399911437103998,-1.2897926688908898,-1.0947603862423805,-1.0412612001776007,-0.9951202211966914,-0.9565321202098128,-0.8671982923844858,-0.8339061759289874,-0.8183140659766908,-0.9703091339757892,-0.6900332042347269,-0.4826390809810284,-0.6901083865219654,-1.0243142838213375,-0.6609116113452363,-0.4611297060631366,-1.1684906982632497,-1.1395621692483402,-0.3092103454911756,-0.4105593953348141,-0.8456872936345788,-0.7404480247380727,1
138,2,1,0,S-type,I-type,0.7813565742832292,-0.6341876030201673,-0.5303209513015871,-0.9115825255094726,-0.6851485022776705,-0.4298992597648676,-0.1776810341136126,0.5233113085964788,-0.809893569482365,-0.6248719664763439,-0.7793580989682138,-0.2284174222749295,-1.9337837640376552,0.223117234139291,-0.0365452345133315,-0.3751727715303578,-0.8600863080172096,-0.6619161288827109,-0.7232775706941732,-1.126959190033942,-1.0957541261535897,-1.1698545300487404,-1.2105021327208183,-1.1923217744195171,-0.6429339625612855,-0.9601985204560034,-0.6502545506913047,-0.5661427856152379,-0.484245731513258,-0.3982385026108211,-0.2648687189234371,-0.3127351748800268,-0.3256893383730802,-0.6249851319566758,-0.0672939870077061,0.5155820161522523,0.1952245920217774,0.5166700098568776,-0.5303209513015865,-0.8673618508195171,-1.0685632772407994,-1.1217986526374106,-0.230619761293021,-0.1564749487837769,-0.435304371072403,-0.624126994206658,2
148,0,1,0,A-type,I-type,0.6257157262423708,-0.4856374835465734,-0.4650256212797621,-0.8639957019410764,-0.6851485022776705,-0.375806882153862,0.959858249983738,-0.1219459105759541,-0.0387114545199388,-0.7412327132005644,-0.4551080896079172,0.3821457872172994,-1.1750583383644375,-0.7324206510467324,-0.4031091689555631,-0.7554326581016227,-0.7568833334974074,-0.4659769738652572,-0.2299304682189174,-0.3815809703271424,-0.55107855319611,-0.631245805378899,-0.7613552564865834,-1.1292429207725003,-0.488519734284957,-1.2215195952865208,-0.9947465732433884,-0.9557727657234734,-0.9188702973633432,-0.8840264555865671,-0.8111676343881091,-0.7700078156471226,-0.7650573386681924,-1.0051583451887276,-0.6198953401784413,-0.1845191001416094,-0.624835847889384,-0.6610404199124047,-0.4650256212797627,-0.4010599564125073,-1.1951927840451992,-1.0807945351271817,-0.1839035107189325,-0.6337154911802393,-0.7924191516936757,-0.7404480247380727,0
160,0,2,0,A-type,S-type,-0.5545607047341489,0.8017968852245738,0.4246232502676014,-0.0618178189309734,0.0116193790078017,-0.7652720009531021,-1.0278419727547905,1.119869869718162,-0.4243025120011519,1.818703714732284,1.969718067347345,-1.1633423368098736,-0.5312913105204955,-0.2688887594111008,-0.1388421464506985,-0.4943707881298655,0.0792589342147276,-0.4409634647140928,0.8215812634146984,-0.1341274722868286,-0.0915656041115921,-0.0100012215816297,0.0133360610492089,0.0365477447779174,0.3350228165221286,-0.1715268081296677,-0.316875174027998,-0.4609262509024655,-0.5986206172632804,-0.6906780165912453,-0.7411293118926383,-0.7859824057175887,-0.8049998841495662,-0.3715363231353081,-0.5476320863022682,-0.3383874773490514,-0.4586875677337217,-0.925878785213756,0.4246232502676024,-0.2050653906655513,-0.1281363560665168,-0.122156755357352,-0.2153223450097353,1.186443849275637,0.3053002655094399,1.818614646953053,0
168,2,1,0,S-type,I-type,0.5375192456858827,-0.2875706575817814,0.3185183389821354,-0.7272780024826692,-0.2471801197553736,-0.3217145045428565,-0.5129557704791474,0.0850233861397328,-0.4243025120011519,0.1896532605931986,-0.5678907015593248,0.2676651854375048,-0.6002663492180609,0.3850223020034509,-0.3042221540827751,-0.3142583352036145,-0.3399555117667439,-0.4159499555629286,-0.1960107349404137,-0.3453682632968527,-0.2874562399207435,-0.2461036762314231,-0.2739090342168713,-0.3208990925551765,-0.1968484142074474,-0.4045969559514802,-0.4057763411382132,-0.3606417412543543,-0.346995868613231,-0.4199902019977948,-0.3769300349161904,-0.3586621213326172,-0.3922602475087033,-0.5774634803026693,0.1983797404782241,-0.1885581450433047,0.0160218041395987,-0.0844896423537112,0.3185183389821364,-0.2222326677178611,-0.4223728013176163,-0.3082295918568388,-0.373590460980901,0.7636809232260262,0.3671407735362162,0.1901202195132454,2
172,0,2,0,A-type,S-type,-0.0357578779312827,-0.5846708965289693,0.9143382254312876,-0.6396578194043528,-0.2869954272574006,-0.7111796233420965,-0.1537328386589315,0.4989619795711045,-0.4243025120011519,0.6550962474900802,0.0947071436551947,-0.781740330877234,-0.2553911557302348,0.2443072634712056,-0.39714184909255,-0.5085369361128291,-0.6677049877158944,-0.2867134916152463,-0.2607665893811935,-0.4721127379028672,-0.433544171710619,-0.4453151223421865,-0.4915189548729928,-0.4774280997533288,-0.214005550682595,-0.390471492447128,-0.4168889870269901,-0.4938064180002069,-0.6062456096466152,-0.6036712190433505,-0.6430756603989793,-0.608265091183652,-0.6585438840511955,-0.8784339407780436,-0.1225541223247798,0.5591780563610276,-0.3162747561717257,0.9233023672001028,0.9143382254312876,-0.1534258605941618,-0.7217442630652448,-0.4823860692964932,-0.3533297279445506,1.0181383164814743,0.2057476089520837,0.6554043416389048,0
176,1,0,0,I-type,A-type,-0.1317364008898141,-0.6837043095113653,0.2532230089603105,-0.6668502900148648,0.0116193790078017,-0.0620710920100297,0.9359100545290574,0.75462993433754,0.5396751317018809,-0.6248719664763439,0.2638810615823059,0.7446676928532976,0.6872677064698234,0.5960948598018189,-0.2624509150416836,1.0133121043426854,0.1859680659191022,0.3678066645068861,0.1154340887985751,0.4241517610968064,-0.3344367907122603,-0.1988831853014647,-0.03889031990826,0.6673362812480838,-0.0939055953565618,0.706606173057566,1.1722193750681047,1.322822814150004,1.2313775547370784,1.288726627623361,1.303989704975108,1.3765777250717763,1.5249819355972407,1.5293297430249502,0.7658588223881712,0.2033574340688176,1.1256549608934856,0.5483099915521722,0.2532230089603104,0.5498285671280361,0.3508066325647235,0.2063942872922986,-0.5061806702341135,-0.7739841085364684,-0.7666569387979193,-0.624126994206658,1
183,0,1,0,A-type,I-type,0.7476343905410441,-0.5846708965289693,-0.5956162813234119,-0.6064225775470605,-0.744871463530711,-0.5597209660312809,0.6724799045275653,-0.5237098394946376,0.3468796029612744,-0.5085112197521235,-0.7088689664985841,-0.0948567201984934,-2.4166090349206115,-0.7572527166700698,-0.3979943233586948,-0.6097237074197117,-0.5914841793556269,-0.6118891105803823,-0.5382916798416787,-0.8432929849633382,-0.9249308513674734,-0.9175200316417736,-0.9267387961852358,-0.949351375186564,-0.6669539536264922,-0.894279690769026,-0.7335993948571314,-0.7256115960392836,-0.7351079809249739,-0.6737600281791547,-0.6346710616995228,-0.5922905011131858,-0.5906415567328599,-0.6376575723977442,-0.6602777467563027,-0.6749745524903311,-1.0046033453880403,-0.8297869889539735,-0.5956162813234126,-1.1637647809743286,-0.8881187975527776,-0.9378796425269992,-0.3036270536127161,-0.2064922370664856,-0.5621456083534694,-0.5078059636752432,0
186,1,0,0,I-type,A-type,0.5868055142321544,-0.0399871251257916,-0.4731875375324915,-0.6192634664464688,-0.3268107347594277,-0.3974438331982642,0.1456196045245818,0.2311193602919807,-0.4243025120011519,-0.5085112197521235,-0.9626298433892512,-0.1330169207917763,-1.1980500179302926,-0.5503188364755914,-0.0365452345133315,-0.2859260392376874,-0.1646476525381285,-0.0907743365977927,0.3158688763533699,0.5478785101169635,0.4463035992965864,0.2113448296525517,0.0916756324854128,-0.2414664620367112,-0.0252770494559712,-0.5270176396558668,-0.428001632915767,-0.4510622007731432,-0.3164958990798918,-0.3813205141987306,-0.3208993769198138,-0.2708018759450529,-0.2324900655832079,0.0118050002070105,-0.1799396474617406,-0.2678644711289738,0.5797391832391668,-0.0610526188757154,-0.4731875375324907,-0.4137746115179629,-0.0300575409828168,0.3242256141447975,-0.2707617673281481,-0.243309907688499,-0.4869245038484334,-0.5078059636752432,1
215,1,2,0,I-type,S-type,-0.4689582383116764,0.306629820312594,0.5225662453003381,0.2758220244828834,0.1111576477628692,0.0893875653007857,-0.3812406954784016,0.2676433538300433,-0.2315069832605452,1.004178487662741,-0.1449559067415463,-0.6863398293940809,0.5493176290746926,0.3643289139840031,-0.0561521426346602,-0.6441272096640518,-0.4809640072332389,-0.3075580825745499,-0.0202448443154397,-0.1824110816605484,-0.0816050633077368,-0.1428088523221386,-0.2042738596069125,-0.2134314159713704,-0.0767484588814142,-0.5529143227471791,-0.6280292589137509,-0.7223235793295094,-0.7587454573133117,-0.7921859470637892,-0.7971599698890149,-0.7759982869235473,-0.7916857023224416,-0.7517095363673598,0.1112387578628389,0.4341599998799809,0.6272101204264987,-0.0844896423537112,0.5225662453003381,0.394849238995838,-0.5240461279488864,-0.2132687926409109,-0.028156582281974,0.2903926994782874,0.28395056735546,1.0043674332331491,1
234,1,0,0,I-type,A-type,1.0277879170145914,0.0095295813654063,-0.8812833501688969,-0.5852728781833288,-0.3069030810084141,-0.5164470639424764,0.0139045295238361,0.1093727151651071,-0.4243025120011519,-0.3921504730279032,-1.1881950672920665,1.4124712032353968,-1.3819834544571334,-0.5172094156444749,-0.3349112276639852,-0.2454513307149343,0.0106602066904868,-0.0699297456384891,-0.2823518741947868,0.3366377191069394,0.2138909805399661,-0.0100012215816297,0.0290039753364499,-0.3676241693307444,-0.1968484142074474,-0.5646855423341396,-0.4502269246933208,-0.4609262509024655,-0.3241208914632265,-0.3861542251736136,-0.2648687189234371,-0.278789170980286,-0.2591184292374572,-0.1941221569603506,-0.2798329689964505,-0.2550421063616869,0.5263343789034184,-0.3727650311330579,-0.8812833501688963,-0.4429731569172394,0.0289951487272642,-0.1422887408497387,-0.4035643527229333,-0.2451858717633683,-0.5490792092286071,-0.3914849331438284,1
