index,y_true,y_pred,correct,y_true_name,y_pred_name
693,0,1,0,A-type,I-type
1074,1,0,0,I-type,A-type
40,0,1,0,A-type,I-type
795,1,0,0,I-type,A-type
787,1,0,0,I-type,A-type
1090,1,0,0,I-type,A-type
1241,2,1,0,S-type,I-type
851,1,0,0,I-type,A-type
924,1,0,0,I-type,A-type
824,1,0,0,I-type,A-type
700,0,1,0,A-type,I-type
1156,1,0,0,I-type,A-type
699,0,1,0,A-type,I-type
1133,1,2,0,I-type,S-type
14,0,2,0,A-type,S-type
834,1,0,0,I-type,A-type
829,1,0,0,I-type,A-type
1274,2,0,0,S-type,A-type
