fold,accuracy,f1_macro
1,0.9074074074074074,0.8585572139303482
2,0.8518518518518519,0.8382092370568683
3,0.8504672897196262,0.827906976744186
4,0.9065420560747663,0.8902402433833636
5,0.8317757009345794,0.8393257168458782
6,0.794392523364486,0.7569749670619235
7,0.897196261682243,0.8924171146953405
8,0.9065420560747663,0.9013446908818171
9,0.8317757009345794,0.7927977534276746
10,0.9252336448598131,0.8937213338836058
