SiO2,TiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O,MnO,P2O5,L.O.I,Total,Ga,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Al,10000*Ga/Al,Zr+Nb+Ce+Y,REE,Sr/Y,A/CNK,A/NK,P,Type_Encoded
0.5115791043457409,-0.5351541900377714,-0.4078922075106666,-0.40852181921500097,-0.6254255410246301,-0.3866253576760631,-0.4890075750244663,-0.08542191703789158,-0.23150698326054528,-0.6248719664763439,0.024218011185565,-0.6290995285041836,-1.313008415759568,1.7880340097220144,-0.725344441558269,1.0497393420131629,-0.17989181421018205,0.10516481841966109,-0.8679298150664103,-0.031524802367674125,0.5293081059953794,0.46367932805951845,0.5791218547551248,1.0247831185811775,-0.8316624637879093,1.000886662731572,1.127768791512997,1.1682860287906194,1.2237525623537433,1.1292141654522208,0.9678057569968483,0.9492574406868051,0.9258437533766333,0.16387428549983132,0.9677708552774784,0.3924873143862985,3.232177798581345,2.39983484631383,-0.4078922075106669,-0.49968365158473493,0.3483931748113549,0.60229866375839,-0.5798371954867949,0.4258464980187864,0.07506658321240604,-0.624126994206658,0
0.1276650125116189,-0.03998712512579167,-0.5303209513015871,0.2712899460477983,-0.1874571585023332,-0.375806882153862,-1.1595570477555364,1.119869869718162,-0.4243025120011519,0.07329251386897835,0.41895715301549147,0.2485850851408633,0.31940083341614195,-0.31855289065777564,-0.4457328822627994,0.17953310877397258,-0.004583954981566675,-0.38259861002804285,1.022016050969493,0.8798283245612871,1.1933441595857233,1.18526745508295,1.4147439500746315,1.235045964071233,0.6610084095499335,1.1185988586011744,0.849952644293575,0.5764430210312748,0.5680032173869483,0.3920732417825565,0.18337654504757572,0.002762979011681193,0.020479389132159694,-0.18144971651928218,-0.6326476790977659,0.36684258485172494,0.016021804139598736,-0.5297930884356289,-0.5303209513015865,0.559600077381065,0.3910138117325439,1.21528801614055,-0.4963473037984145,0.24423251816645367,-0.06061266993776365,0.0737991889818308,0
-1.6077304431439678,1.6435808955749396,1.5019961956277104,0.872545685102452,1.1463556428155708,0.3057570757448079,-0.2016292295682937,1.0589965471547251,-0.03871145451993881,1.236899981111182,1.6877615374688266,-0.037616419308596126,0.5711492199218887,-0.06167781637345415,0.919621332514535,-0.4059069367209577,0.416170351192642,-0.33901295956367467,1.3416378985741,1.2894453076396384,1.089224124226129,0.9090172647994209,0.697590874253206,0.08692153583248319,1.3682137143413873,0.10890227186112024,-0.3978292761402798,-0.33606979277964194,-0.3319337064638705,-0.40816806264087,-0.48695447955150684,-0.5081684494290403,-0.5153516305508922,-0.3369350728646517,-0.40519634739936244,-0.09332595286342045,1.0181310249490563,1.2814875011405313,1.5019961956277086,0.1652371006434511,0.4990898939350123,0.9603539406327732,0.2492955522191546,0.18115131879421534,0.2582270935116913,1.2370094942959784,0
-1.9190121392256883,3.624249155222858,0.596023491574891,3.2284711249409748,1.8033082165990162,1.8636175509417678,-0.5728262591158504,-0.852425781337198,0.5396751317018809,2.400507448353386,-0.5819885280532506,0.3821457872172994,0.1584590764551566,-0.8524423015595298,0.5687114944494228,-0.18878673878308017,1.0548852812261524,-0.2158418823536142,2.0920294553004743,-0.03454252795353144,0.009699894060935457,0.16707561940571533,0.2396503785315754,0.24213808259041616,2.822807605418533,0.2310489017443726,-0.06128431858612965,-0.14527664676414836,-0.08774612757984697,-0.23630918495223913,-0.2648687189234371,-0.3406907075033428,-0.3256893383730802,0.5567199391729514,-0.5093750695442943,-0.22847224320915355,-0.8443889323807946,-0.8286151377800738,0.5960234915748899,0.15217728500687946,0.6657371942968342,0.08116149518524565,-0.08224749128005811,-0.48720315417237,1.0584839683041631,2.4002197996101273,0
0.04984458849118971,-0.8817711354761572,1.2000052942767712,-1.0135542902988925,-0.3467183885104411,-0.5056285884202755,-0.620722650025212,1.545983127662221,-0.4243025120011519,1.236899981111182,-0.27183634518687994,0.17226468395435163,-1.0853907880576028,-0.3837370629190363,-0.2656050698264191,-1.0088043334540566,-1.160167630531583,-1.1542653673414613,0.32629148530621926,-1.2259405892500674,-1.3270046818164265,-1.383822379575116,-1.469893158142915,-1.727323903499769,-0.17969127773229981,-1.633512280830129,-1.3725765334618023,-1.289506461765548,-1.2619949546134104,-1.2030513799288478,-1.1333439178672746,-1.0795154982624056,-1.0979118843463076,-1.6070992661394758,-0.7601710682910124,0.14469511525848036,-1.777786234826711,-0.8391617983451718,1.2000052942767714,-0.6626147787736516,-1.5636815678361051,-1.447019035922512,1.5486543383413738,0.8078062160357059,0.19439386150611956,1.2370094942959784,2
-0.9229107117641844,1.0988971241717618,1.0530908017276654,0.8529066785504156,1.0667250278115168,0.9115917049880702,-0.28544791365967725,-0.5480591685200129,0.15408407422066794,0.887817740938521,-0.11676025375369456,1.7559130085747805,-0.3933412331253656,-0.5337641260600331,1.0034733701832323,-0.6744832410561167,0.05639269170664737,-0.5368485831268893,1.333460874708482,0.07107786755148061,0.09602458102768019,0.07853719891204282,0.07861903724604537,-0.2835190311347222,0.9355225931522952,-0.541143103160219,-0.6835924883576354,-0.732187629458832,-0.7816204344633162,-0.707596005003336,-0.7831523053899208,-0.7120999266416825,-0.7384289750139432,-0.15927294574741271,-0.3946040192703724,-0.16528555299067912,-0.334076357616975,-0.6153382241303131,1.0530908017276654,-0.2582152229315583,-0.14302790390644993,-0.005879736208309136,0.8544228416781352,0.19014694890685307,0.8711659305283614,0.8880464027017345,2
0.599775584902229,-0.13902053810818757,-1.0281978427180025,-0.27255946616244114,-0.5258872722695626,-0.6895426722976943,-0.17768103411361263,0.1580713732158568,-0.809893569482365,-0.5085112197521235,-0.03217329479013883,-0.6290995285041836,-0.5634796619126928,-0.6041216453261558,-0.7014751621062167,0.9485525707062803,0.7576241286211088,-0.19082837320244986,-0.23301408033514504,0.76817247788456,0.8281243301110341,0.8753829833550958,1.1231466563954284,1.1649583489078812,-0.09390559535656183,1.1656837369490152,1.038867624402782,1.1189657781440074,1.0331277527703726,0.8488589289090043,0.7296754605122475,0.6936639995593452,0.5663608440442688,0.740470325568443,-0.6092683910790041,-0.021033949358702134,-0.262869951835977,-0.45596646447994266,-1.0281978427180032,-2.6437838430692215,1.010296801213916,1.0316576631750651,-0.5751956568297552,-0.06364244795687302,-0.5232477118894359,-0.5078059636752432,0
0.28330586055248097,-1.0303212549497511,0.596023491574891,-1.01430963670474,0.03152703275881521,-0.5813579170756832,2.3728017818099216,-0.6576311491341994,-0.6170980407417584,-0.8575934599247846,-0.22954286570510207,1.6986727076848833,2.365660314777243,1.6845670696247752,-0.7523678757950568,1.0092646334904098,-1.157042577388812,-0.470145892057118,-0.9181001841974338,-0.737672589458326,-0.5231890389453154,-0.35382542116539156,-0.2303870500856469,1.235045964071233,-1.0547052379648283,1.4011081286882199,1.727851669506949,1.858769537843188,1.4906272957704625,1.7213437598753936,1.8642962849388744,2.239205588876953,2.07086339050935,-0.5869678106334707,3.1930539966996307,0.17450711334242228,-1.25975963276995,0.26706570981622385,0.5960234915748899,1.412328779351038,-0.7166092465687159,-0.08581556095749247,-0.5838442493502743,-0.5334035505365348,-0.8718758466219009,-0.8567690552694875,0
0.5297372032838394,-0.7332210160025632,-0.2936253799724726,-0.7076389959306328,-0.744871463530711,-0.4839916373758732,0.8041949795283116,-0.15846990411401554,0.3468796029612744,-0.5085112197521235,-0.46920591610184315,-0.07577661990187907,-1.037108260969307,0.0017807558832768295,-0.6503267061375333,-0.3203295414820275,-0.8277686852724563,-0.6535782924989895,-0.821983994534619,-0.97305518515521,-1.011255538334218,-0.9927776890613953,-0.9920217723820722,-0.9586963905416777,-0.9002910096884998,-0.7130029091298385,-0.4502269246933208,-0.42475806709495006,-0.39274582291324,-0.33056654896245863,-0.3349070414189079,-0.29875740856836897,-0.2458042474103326,-0.9006107115499133,-0.32871693485386166,0.0815449687795927,-0.2984731547264761,0.16277095533914324,-0.29362537997247296,-0.35210886229198163,-1.005710675323287,-0.9750275966396055,-0.5211680347413788,-0.33847147773312125,-0.6305412161414308,-0.5078059636752432,0
1.2249329911996818,-0.5351541900377714,-0.8812833501688969,-0.7605132443399616,-0.5657025797715896,-0.9924599869193254,-0.4291370863877638,0.5598353021345412,-1.0026890982229715,-0.6248719664763439,-0.8921407109196213,1.2789105011589876,-0.8301831448766116,-0.4509905739822418,-0.3289439078009721,-0.6582933576470154,-0.7606943739154208,-0.27837565523152497,-0.5567933525390444,-0.9096829478522028,-1.1905452728036108,-1.0222904958926196,-1.061656946992031,-1.2530643742277552,-0.6257768260861379,-1.1626634973517196,-0.9614086355770576,-0.8998764816573128,-0.9036203125966735,-0.8115207909633214,-0.7271216473935442,-0.6741602752243252,-0.6585438840511955,-0.7675500869186953,-0.30746303665498725,-0.31274274781447775,0.15250074855317822,-0.6247130335215114,-0.8812833501688963,-0.08119605782376288,-1.0555203353396163,-1.1377858175872473,-0.2184642284388156,0.3286297544796825,-0.46057803679777193,-0.624126994206658,0
